1,Qna 01,10/12/2019,,,,10/01/2020,cerrada 
2,Qna 02,26/12/2019,,,,24/01/2020,cerrada 
3,Qna 03,08/01/2020,,,,10/02/2020,cerrada 
4,Qna 04,22/01/2020,,,,25/02/2020,cerrada 
5,Qna 05,07/02/2020,,,,10/03/2020,cerrada 
6,Qna 06,21/02/2020,,,,25/03/2020,cerrada 
7,Qna 07,06/03/2020,,,,08/04/2020,cerrada 
8,Qna 08,23/03/2020,27/03/2020,27/03/2020,02/04/2020,24/04/2020,abierta 
9,Qna 09,06/04/1900,14/04/2020,14/04/2020,17/04/2020,08/05/2020,proxima
10,Qna 10,21/04/2020,27/04/2020,27/04/2020,05/05/2020,25/05/2020,proxima
11,Qna 11,08/05/2020,14/05/2020,14/05/2020,21/05/2020,10/06/2020,proxima
12,Qna 12,25/05/2020,29/05/2020,29/05/2020,05/06/2020,25/06/2020,proxima
13,Qna 13,09/06/2020,15/06/2020,15/06/2020,22/06/2020,10/07/2020,proxima
14,Qna 14,24/06/2020,30/06/2020,30/06/2020,06/07/2020,24/07/2020,proxima
15,Qna 15,08/07/2020,14/07/2020,14/07/2020,21/07/2020,10/08/2020,proxima
16,Qna 16,23/07/2020,29/07/2020,29/07/2020,05/08/2020,25/08/2020,proxima
17,Qna 17,10/08/2020,14/08/2020,14/08/2020,21/08/2020,10/09/2020,proxima
18,Qna 18,25/08/2020,31/08/2020,31/08/2020,03/09/2020,25/09/2020,proxima
19,Qna 19,07/09/2020,11/09/2020,11/09/2020,21/09/2020,09/10/2020,proxima
20,Qna 20,23/09/2020,29/09/2020,29/09/2020,05/10/2020,23/10/2020,proxima
21,Qna 21,07/10/2020,13/10/2020,13/10/2020,20/10/2020,10/11/2020,proxima
22,Qna 22,22/10/2020,28/10/2020,28/10/2020,04/11/2020,25/11/2020,proxima
23,Qna 23,06/11/2020,12/11/2020,12/11/2020,20/11/2020,10/12/2020,proxima
24,Qna 24,24/11/2020,30/11/2020,30/11/2020,03/12/2020,23/12/2020,proxima
,,,,,,,
